#ime enote, ptretvorba v osnovni tip,  vidnost Opomba: tista vrednost ki je enaka 1 je osnovna
ounces              , 28.349523125      , 0
pounds              , 453.59237         , 0
tons                , 907185            , 0
micrograms          , 1e-6              , 1
milligrams          , 0.001             , 1
grams               , 1                 , 0
kilograms           , 1000              , 0
metric_tons         , 1e6               , 1
newtons             , 0.0098            , 1
