#ime enote, ptretvorba v osnovni tip,  vidnost Opomba: tista vrednost ki je enaka 1 je osnovna
pascals                 , 1                 , 0
kilopascals             , 1000              , 1
atmospheres             , 101325            , 0
pounds_per_square_inch  , 6894.767          , 0
millibars               , 100               , 1
bars                    , 100000            , 0
inches_of_mercury       , 3386.389          , 0
